OrderID,CompanyID,StatusTimestamp,StatusCode,StatusName
1,41,2023-07-14 00:00:00,111,Created
1,41,2023-07-14 00:47:00,321,Cancelled
2,46,2023-11-27 00:00:00,111,Created
2,46,2023-11-27 03:21:00,333,Interacted
3,35,2023-05-08 00:00:00,111,Created
3,35,2023-05-08 01:52:00,321,Cancelled
4,22,2023-03-28 00:00:00,111,Created
4,22,2023-03-28 00:31:00,321,Cancelled
5,13,2023-07-16 00:00:00,111,Created
5,13,2023-07-16 00:47:00,333,Interacted
6,5,2023-12-22 00:00:00,111,Created
6,5,2023-12-22 02:40:00,333,Interacted
7,13,2023-05-15 00:00:00,111,Created
7,13,2023-05-15 01:25:00,123,Error
8,6,2023-01-19 00:00:00,111,Created
8,6,2023-01-19 04:06:00,222,Interacted
8,6,2023-01-19 07:25:00,444,Login Attempted
8,6,2023-01-19 08:39:00,543,Timeout
9,48,2023-11-27 00:00:00,111,Created
9,48,2023-11-27 03:00:00,333,Interacted
10,39,2023-06-22 00:00:00,111,Created
10,39,2023-06-22 03:34:00,333,Interacted
11,38,2023-10-30 00:00:00,111,Created
11,38,2023-10-30 03:00:00,222,Interacted
11,38,2023-10-30 03:48:00,321,Cancelled
12,10,2023-01-07 00:00:00,111,Created
12,10,2023-01-07 03:21:00,333,Interacted
13,42,2023-05-03 00:00:00,111,Created
13,42,2023-05-03 00:39:00,333,Interacted
14,4,2023-07-26 00:00:00,111,Created
14,4,2023-07-26 01:22:00,222,Interacted
14,4,2023-07-26 05:03:00,444,Login Attempted
14,4,2023-07-26 07:46:00,555,Login Success
14,4,2023-07-26 08:49:00,666,MFA
14,4,2023-07-26 10:32:00,777,MFA Success
14,4,2023-07-26 15:02:00,888,Harvest Started
14,4,2023-07-26 19:32:00,999,Harvest Completed
14,4,2023-07-26 23:38:00,1212,VOIE Generated
14,4,2023-07-27 01:42:00,2323,VOIE Delivered
14,4,2023-07-27 03:28:00,5656,Churned
15,22,2023-03-25 00:00:00,111,Created
15,22,2023-03-25 03:30:00,222,Interacted
15,22,2023-03-25 05:28:00,444,Login Attempted
15,22,2023-03-25 10:23:00,543,Timeout
16,34,2023-05-03 00:00:00,111,Created
16,34,2023-05-03 04:20:00,123,Error
17,21,2023-04-01 00:00:00,111,Created
17,21,2023-04-01 03:13:00,333,Interacted
18,14,2023-04-22 00:00:00,111,Created
18,14,2023-04-22 03:39:00,333,Interacted
19,12,2023-06-27 00:00:00,111,Created
19,12,2023-06-27 02:22:00,333,Interacted
20,45,2023-07-25 00:00:00,111,Created
20,45,2023-07-25 02:53:00,333,Interacted
21,39,2023-05-12 00:00:00,111,Created
21,39,2023-05-12 01:56:00,321,Cancelled
22,46,2023-01-31 00:00:00,111,Created
22,46,2023-01-31 00:28:00,321,Cancelled
23,46,2023-02-28 00:00:00,111,Created
23,46,2023-02-28 01:13:00,333,Interacted
24,43,2023-05-25 00:00:00,111,Created
24,43,2023-05-25 04:48:00,123,Error
25,41,2023-09-07 00:00:00,111,Created
25,41,2023-09-07 04:17:00,123,Error
26,33,2023-08-13 00:00:00,111,Created
26,33,2023-08-13 01:28:00,123,Error
27,29,2023-06-09 00:00:00,111,Created
27,29,2023-06-09 04:06:00,333,Interacted
28,2,2023-05-15 00:00:00,111,Created
28,2,2023-05-15 01:19:00,123,Error
29,13,2023-12-01 00:00:00,111,Created
29,13,2023-12-01 03:20:00,333,Interacted
30,7,2023-06-27 00:00:00,111,Created
30,7,2023-06-27 02:21:00,222,Interacted
30,7,2023-06-27 05:24:00,123,Error
31,9,2023-06-13 00:00:00,111,Created
31,9,2023-06-13 04:51:00,321,Cancelled
32,50,2023-11-17 00:00:00,111,Created
32,50,2023-11-17 04:22:00,123,Error
33,30,2023-04-23 00:00:00,111,Created
33,30,2023-04-23 01:57:00,333,Interacted
34,48,2023-12-27 00:00:00,111,Created
34,48,2023-12-27 01:37:00,333,Interacted
35,29,2023-01-24 00:00:00,111,Created
35,29,2023-01-24 01:40:00,123,Error
36,44,2023-10-27 00:00:00,111,Created
36,44,2023-10-27 01:30:00,333,Interacted
37,4,2023-06-28 00:00:00,111,Created
37,4,2023-06-28 03:41:00,222,Interacted
37,4,2023-06-28 04:06:00,444,Login Attempted
37,4,2023-06-28 08:47:00,543,Timeout
38,27,2023-12-09 00:00:00,111,Created
38,27,2023-12-09 02:51:00,123,Error
39,35,2023-03-15 00:00:00,111,Created
39,35,2023-03-15 01:28:00,222,Interacted
39,35,2023-03-15 05:50:00,321,Cancelled
40,41,2023-10-06 00:00:00,111,Created
40,41,2023-10-06 04:44:00,321,Cancelled
41,37,2023-12-12 00:00:00,111,Created
41,37,2023-12-12 02:43:00,321,Cancelled
42,27,2023-06-07 00:00:00,111,Created
42,27,2023-06-07 01:58:00,123,Error
43,24,2023-01-10 00:00:00,111,Created
43,24,2023-01-10 01:39:00,321,Cancelled
44,48,2023-01-03 00:00:00,111,Created
44,48,2023-01-03 04:40:00,333,Interacted
45,42,2023-07-22 00:00:00,111,Created
45,42,2023-07-22 03:10:00,123,Error
46,43,2023-05-26 00:00:00,111,Created
46,43,2023-05-26 01:03:00,333,Interacted
47,16,2023-01-23 00:00:00,111,Created
47,16,2023-01-23 00:18:00,321,Cancelled
48,23,2023-07-26 00:00:00,111,Created
48,23,2023-07-26 03:42:00,123,Error
49,38,2023-12-13 00:00:00,111,Created
49,38,2023-12-13 03:13:00,321,Cancelled
50,17,2023-03-27 00:00:00,111,Created
50,17,2023-03-27 04:32:00,333,Interacted
51,46,2023-10-13 00:00:00,111,Created
51,46,2023-10-13 01:20:00,333,Interacted
52,21,2023-08-12 00:00:00,111,Created
52,21,2023-08-12 05:00:00,222,Interacted
52,21,2023-08-12 09:37:00,444,Login Attempted
52,21,2023-08-12 12:16:00,123,Error
53,24,2023-06-23 00:00:00,111,Created
53,24,2023-06-23 04:03:00,321,Cancelled
54,40,2023-03-21 00:00:00,111,Created
54,40,2023-03-21 00:36:00,321,Cancelled
55,49,2023-11-02 00:00:00,111,Created
55,49,2023-11-02 00:37:00,333,Interacted
56,28,2023-01-05 00:00:00,111,Created
56,28,2023-01-05 03:00:00,321,Cancelled
57,14,2023-12-11 00:00:00,111,Created
57,14,2023-12-11 01:28:00,222,Interacted
57,14,2023-12-11 05:37:00,444,Login Attempted
57,14,2023-12-11 10:22:00,123,Error
58,11,2023-01-18 00:00:00,111,Created
58,11,2023-01-18 03:00:00,321,Cancelled
59,34,2023-11-26 00:00:00,111,Created
59,34,2023-11-26 04:58:00,333,Interacted
60,12,2023-02-18 00:00:00,111,Created
60,12,2023-02-18 03:20:00,123,Error
61,24,2023-07-06 00:00:00,111,Created
61,24,2023-07-06 00:36:00,123,Error
62,15,2023-04-29 00:00:00,111,Created
62,15,2023-04-29 00:14:00,123,Error
63,31,2023-04-14 00:00:00,111,Created
63,31,2023-04-14 02:59:00,222,Interacted
63,31,2023-04-14 03:46:00,123,Error
64,13,2023-11-20 00:00:00,111,Created
64,13,2023-11-20 00:59:00,333,Interacted
65,22,2023-02-04 00:00:00,111,Created
65,22,2023-02-04 00:34:00,222,Interacted
65,22,2023-02-04 03:53:00,321,Cancelled
66,8,2023-01-21 00:00:00,111,Created
66,8,2023-01-21 01:28:00,321,Cancelled
67,34,2023-09-03 00:00:00,111,Created
67,34,2023-09-03 04:32:00,123,Error
68,42,2023-01-01 00:00:00,111,Created
68,42,2023-01-01 04:43:00,222,Interacted
68,42,2023-01-01 04:59:00,123,Error
69,2,2023-11-07 00:00:00,111,Created
69,2,2023-11-07 03:21:00,333,Interacted
70,10,2023-08-16 00:00:00,111,Created
70,10,2023-08-16 02:49:00,123,Error
71,12,2023-09-29 00:00:00,111,Created
71,12,2023-09-29 00:22:00,123,Error
72,38,2023-12-17 00:00:00,111,Created
72,38,2023-12-17 00:30:00,333,Interacted
73,12,2023-07-15 00:00:00,111,Created
73,12,2023-07-15 01:20:00,321,Cancelled
74,5,2023-04-25 00:00:00,111,Created
74,5,2023-04-25 02:05:00,222,Interacted
74,5,2023-04-25 04:54:00,123,Error
75,41,2023-02-03 00:00:00,111,Created
75,41,2023-02-03 02:09:00,333,Interacted
76,31,2023-10-28 00:00:00,111,Created
76,31,2023-10-28 02:46:00,321,Cancelled
77,15,2023-02-22 00:00:00,111,Created
77,15,2023-02-22 03:45:00,222,Interacted
77,15,2023-02-22 04:50:00,123,Error
78,46,2023-11-30 00:00:00,111,Created
78,46,2023-11-30 03:08:00,123,Error
79,29,2023-10-17 00:00:00,111,Created
79,29,2023-10-17 04:42:00,333,Interacted
80,35,2023-01-14 00:00:00,111,Created
80,35,2023-01-14 01:54:00,222,Interacted
80,35,2023-01-14 04:33:00,444,Login Attempted
80,35,2023-01-14 07:05:00,123,Error
81,40,2023-08-30 00:00:00,111,Created
81,40,2023-08-30 03:46:00,222,Interacted
81,40,2023-08-30 06:59:00,444,Login Attempted
81,40,2023-08-30 10:15:00,555,Login Success
81,40,2023-08-30 14:37:00,666,MFA
81,40,2023-08-30 15:57:00,777,MFA Success
81,40,2023-08-30 17:47:00,888,Harvest Started
81,40,2023-08-30 19:18:00,999,Harvest Completed
81,40,2023-08-30 21:58:00,1212,VOIE Generated
81,40,2023-08-31 02:52:00,123,Error
82,3,2023-09-22 00:00:00,111,Created
82,3,2023-09-22 00:11:00,123,Error
83,49,2023-06-04 00:00:00,111,Created
83,49,2023-06-04 01:50:00,321,Cancelled
84,10,2023-12-11 00:00:00,111,Created
84,10,2023-12-11 04:40:00,123,Error
85,48,2023-04-12 00:00:00,111,Created
85,48,2023-04-12 00:46:00,222,Interacted
85,48,2023-04-12 05:43:00,123,Error
86,23,2023-08-23 00:00:00,111,Created
86,23,2023-08-23 02:40:00,321,Cancelled
87,22,2023-11-30 00:00:00,111,Created
87,22,2023-11-30 00:51:00,333,Interacted
88,39,2023-05-25 00:00:00,111,Created
88,39,2023-05-25 02:26:00,333,Interacted
89,17,2023-06-29 00:00:00,111,Created
89,17,2023-06-29 01:56:00,123,Error
90,18,2023-07-23 00:00:00,111,Created
90,18,2023-07-23 03:35:00,222,Interacted
90,18,2023-07-23 05:41:00,321,Cancelled
91,8,2023-08-17 00:00:00,111,Created
91,8,2023-08-17 02:23:00,321,Cancelled
92,20,2023-09-16 00:00:00,111,Created
92,20,2023-09-16 01:44:00,123,Error
93,23,2023-02-14 00:00:00,111,Created
93,23,2023-02-14 03:35:00,222,Interacted
93,23,2023-02-14 04:33:00,123,Error
94,1,2023-08-05 00:00:00,111,Created
94,1,2023-08-05 00:34:00,123,Error
95,14,2023-06-03 00:00:00,111,Created
95,14,2023-06-03 01:24:00,321,Cancelled
96,19,2023-05-19 00:00:00,111,Created
96,19,2023-05-19 00:48:00,333,Interacted
97,36,2023-11-22 00:00:00,111,Created
97,36,2023-11-22 00:44:00,123,Error
98,16,2023-10-03 00:00:00,111,Created
98,16,2023-10-03 04:11:00,123,Error
99,45,2023-10-25 00:00:00,111,Created
99,45,2023-10-25 04:49:00,222,Interacted
99,45,2023-10-25 08:16:00,444,Login Attempted
99,45,2023-10-25 12:58:00,543,Timeout
100,4,2023-08-14 00:00:00,111,Created
100,4,2023-08-14 04:32:00,321,Cancelled
101,37,2023-07-02 00:00:00,111,Created
101,37,2023-07-02 01:18:00,123,Error
102,1,2023-08-09 00:00:00,111,Created
102,1,2023-08-09 04:40:00,333,Interacted
103,13,2023-03-18 00:00:00,111,Created
103,13,2023-03-18 04:15:00,123,Error
104,26,2023-04-05 00:00:00,111,Created
104,26,2023-04-05 03:52:00,333,Interacted
105,5,2023-12-03 00:00:00,111,Created
105,5,2023-12-03 04:57:00,123,Error
106,15,2023-08-13 00:00:00,111,Created
106,15,2023-08-13 03:38:00,222,Interacted
106,15,2023-08-13 05:00:00,321,Cancelled
107,23,2023-12-24 00:00:00,111,Created
107,23,2023-12-24 02:37:00,123,Error
108,9,2023-06-17 00:00:00,111,Created
108,9,2023-06-17 01:48:00,321,Cancelled
109,5,2023-04-07 00:00:00,111,Created
109,5,2023-04-07 02:49:00,321,Cancelled
110,24,2023-10-03 00:00:00,111,Created
110,24,2023-10-03 00:20:00,222,Interacted
110,24,2023-10-03 03:46:00,444,Login Attempted
110,24,2023-10-03 07:30:00,543,Timeout
111,37,2023-11-23 00:00:00,111,Created
111,37,2023-11-23 00:29:00,123,Error
112,37,2023-06-18 00:00:00,111,Created
112,37,2023-06-18 04:54:00,333,Interacted
113,22,2023-07-20 00:00:00,111,Created
113,22,2023-07-20 03:47:00,321,Cancelled
114,29,2023-03-21 00:00:00,111,Created
114,29,2023-03-21 04:03:00,123,Error
115,36,2023-10-05 00:00:00,111,Created
115,36,2023-10-05 02:32:00,333,Interacted
116,12,2023-05-15 00:00:00,111,Created
116,12,2023-05-15 02:43:00,123,Error
117,41,2023-09-20 00:00:00,111,Created
117,41,2023-09-20 04:32:00,123,Error
118,10,2023-06-24 00:00:00,111,Created
118,10,2023-06-24 03:12:00,123,Error
119,29,2023-02-04 00:00:00,111,Created
119,29,2023-02-04 02:14:00,123,Error
120,43,2023-02-27 00:00:00,111,Created
120,43,2023-02-27 01:23:00,123,Error
121,22,2023-02-11 00:00:00,111,Created
121,22,2023-02-11 03:13:00,123,Error
122,48,2023-12-29 00:00:00,111,Created
122,48,2023-12-29 04:31:00,123,Error
123,44,2023-12-06 00:00:00,111,Created
123,44,2023-12-06 03:36:00,222,Interacted
123,44,2023-12-06 06:42:00,321,Cancelled
124,44,2023-07-29 00:00:00,111,Created
124,44,2023-07-29 03:13:00,321,Cancelled
125,32,2023-03-21 00:00:00,111,Created
125,32,2023-03-21 03:10:00,321,Cancelled
126,28,2023-12-25 00:00:00,111,Created
126,28,2023-12-25 03:10:00,222,Interacted
126,28,2023-12-25 05:20:00,123,Error
127,45,2023-08-29 00:00:00,111,Created
127,45,2023-08-29 04:36:00,222,Interacted
127,45,2023-08-29 07:16:00,321,Cancelled
128,44,2023-10-06 00:00:00,111,Created
128,44,2023-10-06 01:30:00,321,Cancelled
129,46,2023-03-08 00:00:00,111,Created
129,46,2023-03-08 00:36:00,333,Interacted
130,3,2023-01-01 00:00:00,111,Created
130,3,2023-01-01 02:02:00,321,Cancelled
131,48,2023-08-28 00:00:00,111,Created
131,48,2023-08-28 01:05:00,222,Interacted
